State,AccountLength,AreaCode,InternationalPlan,VoiceMailPlan,TotalDayMinutes,TotalEveMinutes,CustomerServiceCalls,Churn
IN,94,408,no,no,157.9,155,4,TRUE
WV,111,510,no,no,214.3,208.5,1,FALSE
KY,74,415,no,yes,154.1,123.4,2,FALSE
NJ,128,415,no,no,237.9,247.6,1,TRUE
DC,82,510,no,no,143.9,194.9,1,FALSE
LA,155,415,no,no,203.4,190.9,0,TRUE
AR,80,415,no,no,124.3,173,1,FALSE
ME,78,415,no,no,252.9,178.4,3,FALSE
AZ,90,415,no,no,179.1,190.6,3,FALSE
AK,104,408,no,no,278.4,81,1,FALSE
MT,73,415,no,no,160.1,213.3,0,FALSE
AZ,99,415,no,no,198.2,207.3,4,FALSE
MS,120,408,no,no,212.1,209.4,1,TRUE
ID,77,415,no,no,251.8,205.7,2,TRUE
IA,98,510,no,yes,161.2,252.2,4,FALSE
MA,108,415,no,no,178.3,189,0,FALSE
VT,135,415,no,no,151.7,119,0,FALSE
KY,95,408,no,no,135,183.6,1,FALSE
IN,122,408,no,no,170.5,173.7,1,FALSE
AZ,95,408,no,no,238.1,187.2,4,FALSE
MI,36,510,no,yes,281.4,202.2,2,FALSE
NM,93,510,no,yes,117.9,164.5,1,FALSE
CO,141,415,no,yes,148.6,131.1,1,FALSE
UT,157,408,no,no,229.8,147.9,3,FALSE
MI,120,408,no,no,165,317.2,1,FALSE
MA,103,415,no,no,185,223.3,2,FALSE
AL,98,408,no,no,161,190.9,4,FALSE
DE,125,408,no,no,126.7,206,1,FALSE
AZ,63,415,no,no,58.9,169.6,1,FALSE
ME,36,510,yes,yes,196.8,254.9,0,TRUE
NJ,64,510,no,no,162.6,152.3,1,FALSE
NV,74,415,no,no,282.5,219.9,1,TRUE
MO,112,510,no,yes,113.7,157.5,2,FALSE
ID,97,408,no,no,239.8,214.8,2,FALSE
NE,46,408,no,no,210.2,227.3,1,FALSE
TX,41,408,no,yes,213.8,141.8,0,FALSE
MD,121,510,no,no,190.7,183.5,3,FALSE
MS,193,415,no,no,170.9,132.3,1,FALSE
NV,130,510,no,no,154.2,110.2,2,FALSE
AZ,85,408,no,no,201.4,229.4,1,FALSE
MS,162,415,no,no,70.7,157.5,4,TRUE
MS,61,510,no,yes,187.5,146.6,4,TRUE
TX,92,408,no,no,91.7,193.7,2,FALSE
NE,131,408,no,yes,214.2,161.7,3,FALSE
NE,90,415,no,no,145.5,217.7,3,FALSE
CA,75,408,no,no,166.3,158.2,1,FALSE
NJ,78,415,no,no,231,230.4,1,FALSE
TX,82,408,no,no,200.3,201.2,4,FALSE
AR,163,408,no,no,197,202.6,1,FALSE
AL,91,510,yes,no,129.9,173.3,3,FALSE
NY,75,415,no,yes,175.8,217.5,5,FALSE
FL,91,510,no,no,203.1,210.1,3,FALSE
AK,127,510,no,yes,183.2,126.8,1,FALSE
NV,113,415,no,yes,205,152,2,FALSE
DE,110,510,no,no,148.5,276.4,1,FALSE
MD,120,415,no,yes,200.3,220.4,0,FALSE
MI,157,415,no,yes,192.6,195.5,3,FALSE
VT,103,510,no,no,246.5,195.5,1,FALSE
VT,117,408,yes,no,167.1,177.5,2,TRUE
MI,140,415,no,no,231.9,160.1,3,FALSE
WA,127,408,no,no,146.7,203.5,1,FALSE
UT,83,408,yes,no,271.5,216.3,1,FALSE
LA,121,408,no,no,181.5,218.4,1,FALSE
RI,145,408,no,yes,257.7,162.1,2,FALSE
IA,113,408,no,no,193.8,221.4,1,FALSE
NE,117,415,no,no,102.8,206.7,1,FALSE
OH,65,408,no,no,187.9,157.6,1,FALSE
RI,56,415,no,no,226,248.5,1,FALSE
OK,96,415,no,no,260.4,146,5,FALSE
LA,151,408,no,no,178.7,292.1,0,FALSE
OH,83,415,no,no,337.4,227.4,0,TRUE
VA,139,510,no,yes,157.6,247,0,FALSE
MO,6,510,no,no,183.6,256.7,1,FALSE
FL,115,510,no,yes,142.1,183.4,1,FALSE
SC,87,415,no,no,136.3,172.2,0,FALSE
VA,141,415,no,no,217.1,241.5,0,FALSE
IA,141,510,no,yes,187.5,241.4,3,FALSE
MI,62,415,no,no,98.9,135.4,1,FALSE
OK,146,415,no,no,206.3,148.6,1,FALSE
DE,92,415,no,yes,243.1,213.8,2,FALSE
GA,185,510,no,yes,189.8,163.3,1,FALSE
DC,148,415,no,no,202,243.2,1,FALSE
AZ,94,408,no,yes,170.1,193.3,1,FALSE
AL,32,510,no,no,230.9,187.4,0,FALSE
CO,68,408,no,no,237.1,223.5,1,FALSE
NH,64,408,no,yes,182.1,169.7,2,FALSE
NM,25,415,no,no,119.3,211.5,3,FALSE
OR,65,415,no,no,116.8,178.9,1,FALSE
LA,179,408,no,no,219.2,149.4,0,FALSE
NE,94,415,no,no,252.6,169,2,FALSE
MN,62,415,no,no,147.1,190.4,0,FALSE
MI,127,415,no,no,202.1,229.4,2,FALSE
AR,116,408,no,no,173.5,194.1,3,FALSE
KS,70,408,no,no,232.1,292.3,3,FALSE
WV,94,510,yes,yes,197.1,214.5,4,FALSE
AK,126,415,no,no,58.2,138.7,5,TRUE
NY,67,408,no,yes,115.6,237.7,2,FALSE
NH,19,408,no,no,186.1,254.3,2,FALSE
VA,170,510,yes,no,259.9,245,3,FALSE
NM,73,415,no,no,214.3,268.5,1,FALSE
NY,106,408,no,no,158.7,64.3,1,FALSE
AZ,93,415,no,no,271.6,229.4,2,FALSE
WY,164,510,no,no,160.6,163.2,1,FALSE
WA,51,408,no,no,232.4,187.4,1,FALSE
CO,107,415,no,no,133.8,180.5,0,FALSE
TX,130,415,no,no,176.9,90.7,1,FALSE
KY,80,408,no,no,209.9,195.1,2,FALSE
MT,94,415,no,no,137.5,203.2,0,FALSE
OK,118,408,no,yes,289.5,166.6,1,FALSE
MD,117,415,no,yes,198.1,177,1,FALSE
TN,78,415,no,no,149.7,182.2,0,FALSE
TX,208,510,no,no,326.5,176.3,2,TRUE
ME,131,510,yes,yes,292.9,199.7,4,TRUE
DC,63,408,no,no,83,177,0,FALSE
MN,53,415,no,yes,145.7,220.5,3,FALSE
DE,62,408,no,no,182.3,328.2,2,FALSE
MD,97,415,no,no,218,184,3,FALSE
MI,105,510,no,no,140.6,178.6,2,FALSE
WA,157,415,no,no,152.7,257.5,1,FALSE
MO,66,415,no,yes,106.7,209.8,1,FALSE
IN,122,415,no,no,243.8,83.9,2,FALSE
OR,38,415,no,no,194.4,186.7,3,FALSE
MD,106,510,no,no,213.9,151.9,3,FALSE
RI,99,510,no,no,217.2,246.7,3,FALSE
LA,99,415,no,no,241.1,155.6,1,FALSE
AZ,144,510,yes,no,203.5,247.6,0,FALSE
PA,82,415,no,yes,155.2,244.5,1,FALSE
AZ,86,408,no,yes,167.6,113,1,FALSE
FL,70,510,yes,no,226.7,228.1,2,TRUE
LA,93,415,no,no,179.3,178.6,3,FALSE
FL,93,415,no,no,151.4,186.4,0,FALSE
FL,120,415,no,no,180,224.2,3,FALSE
MD,136,415,no,no,250.2,267.1,1,TRUE
AL,106,415,no,no,223,110.1,0,FALSE
WA,81,415,no,no,183.6,152.6,3,FALSE
TN,127,408,no,yes,166,174.5,1,FALSE
MS,65,415,no,no,136.1,272.9,1,FALSE
ME,35,408,no,no,149.3,242.2,2,FALSE
OK,88,408,no,no,65.4,168.2,2,FALSE
IN,65,415,no,no,213.4,234.5,1,FALSE
MO,123,415,no,no,206.9,244.7,3,FALSE
IA,126,408,no,yes,186.2,189.6,2,FALSE
VA,104,415,no,yes,280.2,220.5,4,FALSE
KY,45,415,no,yes,196.6,313.2,0,FALSE
MD,93,408,yes,no,312,129.4,0,TRUE
OH,63,415,yes,yes,199,291.3,1,FALSE
OK,100,415,no,no,203.1,217,3,FALSE
NV,53,415,no,no,168.8,220.3,0,FALSE
ID,92,415,yes,no,173.1,240.3,1,FALSE
MN,139,510,no,no,134.4,211.3,5,TRUE
SD,110,408,no,yes,202.6,118.8,2,FALSE
IL,110,408,no,no,74.5,200.8,3,FALSE
WY,215,510,no,no,83.6,120.9,0,FALSE
AL,73,415,no,no,192.2,168.6,1,FALSE
NJ,138,510,no,no,220.2,88.3,0,FALSE
NV,137,415,yes,no,135.1,134.1,2,TRUE
IN,36,415,no,no,253.4,182.4,1,FALSE
WV,85,408,no,no,225,176.9,3,FALSE
VA,108,408,no,no,198.5,267.8,0,TRUE
SC,22,408,no,no,110.3,166.5,0,FALSE
RI,107,415,no,yes,60,102.2,0,FALSE
IN,51,510,no,no,214.8,149.7,0,FALSE
AZ,94,408,no,no,181.8,202.4,4,FALSE
NM,119,510,no,yes,154,278,2,FALSE
OR,33,415,no,yes,157.4,117.9,4,TRUE
NJ,106,415,no,no,207.9,172,4,FALSE
MS,82,408,no,no,207,232.9,3,FALSE
MI,86,510,no,yes,119,230,0,FALSE
TX,97,415,yes,no,143.7,273,0,FALSE
FL,106,408,no,yes,165.9,216.5,4,FALSE
DC,108,510,no,no,138.6,172.3,1,FALSE
TX,114,415,no,no,84.7,249.9,1,FALSE
KS,92,408,yes,no,62.6,180.6,1,TRUE
UT,59,510,no,no,155.2,235.3,1,FALSE
MN,24,510,no,yes,164.9,209.3,1,FALSE
IL,151,408,no,no,134.5,143.1,1,FALSE
NM,117,415,no,no,143.3,211.3,1,FALSE
SC,78,510,no,no,168.3,221.2,1,FALSE
NC,155,408,no,no,262.4,194.6,2,FALSE
WV,114,510,no,yes,206.2,260,1,FALSE
RI,114,510,no,yes,225.8,193,4,FALSE
NH,119,408,no,no,138.3,170.5,3,FALSE
MO,64,510,no,yes,94.4,136.2,0,FALSE
MA,118,408,yes,no,160,175.4,2,FALSE
PA,101,415,no,no,206.6,224.9,0,FALSE
OK,117,415,no,no,134.7,180,1,FALSE
AL,49,415,no,yes,214.4,235.2,3,FALSE
WY,139,415,no,no,192.8,234.4,3,FALSE
PA,92,408,no,yes,151.1,194.8,1,FALSE
WA,83,415,no,no,221.4,231.8,3,FALSE
HI,148,510,yes,no,218.9,208,0,FALSE
SD,144,408,no,yes,189.8,123.4,2,TRUE
AL,131,415,no,yes,192.7,225.9,2,FALSE
VT,146,510,yes,no,204.4,219.1,3,FALSE
MT,143,415,no,no,172.3,174,2,FALSE
MN,81,415,no,no,198.4,210.9,2,FALSE
AK,48,415,no,yes,211.7,159.9,1,FALSE
MI,86,415,no,yes,221.6,288.4,1,FALSE
DE,71,415,no,no,197.9,181.5,3,FALSE
SD,145,408,no,yes,147.5,175.7,2,FALSE
MI,137,510,no,no,206.4,128,2,FALSE
KS,137,408,no,no,205.9,209.3,2,FALSE
AL,167,510,no,no,207.6,132.4,0,FALSE
OK,89,510,no,no,303.9,260.9,1,TRUE
CT,199,415,no,yes,230.6,219.4,0,FALSE
NE,132,510,no,no,99.5,129.1,0,FALSE
WI,94,510,no,no,177.1,194,1,FALSE
CT,96,415,no,yes,172.7,120.1,5,TRUE
WI,96,510,no,yes,172.7,133.4,1,FALSE
IN,166,510,no,no,204.2,179.9,1,FALSE
DC,74,415,no,no,85.7,247.7,2,FALSE
AR,36,415,no,no,157.6,184.3,0,FALSE
ME,113,415,no,no,215.5,218.7,4,FALSE
MN,94,415,no,no,181.5,199.9,1,FALSE
MD,67,415,no,no,171.7,110.4,2,FALSE
FL,127,415,no,no,266.6,264.8,1,TRUE
RI,121,408,no,no,170.4,350.5,0,TRUE
IA,158,415,no,no,158,292.5,1,FALSE
AZ,136,510,no,no,92,253.6,1,FALSE
MO,196,415,no,no,234,249.5,2,FALSE
VT,113,415,no,no,272.1,268.5,1,TRUE
IN,122,408,no,no,296.4,214.8,4,TRUE
RI,112,510,no,no,194.4,190.3,0,FALSE
SD,209,415,no,no,227.2,258.4,3,FALSE
MN,62,415,no,no,248.7,220,1,TRUE
TX,110,415,no,yes,236.3,195.9,1,FALSE
VA,16,510,no,no,205.6,169.5,0,FALSE
MA,73,408,no,no,94.1,280.3,0,FALSE
ID,128,408,no,no,125.2,205.4,0,FALSE
MA,39,408,no,no,60.4,306.2,1,FALSE
GA,103,415,no,yes,121,270.4,2,FALSE
RI,119,415,no,yes,117.8,256.8,3,FALSE
ID,173,510,no,yes,232.4,211.9,3,FALSE
SD,128,510,yes,yes,223.5,188.8,2,TRUE
MA,86,510,no,no,176.3,259.2,0,FALSE
AZ,158,510,no,no,205.2,240.6,0,FALSE
FL,116,510,no,no,192.1,312.9,3,FALSE
MT,54,415,no,no,272.6,248.7,1,TRUE
AL,86,415,no,no,128.3,197.1,7,TRUE
DE,108,510,no,no,169.6,264.1,0,FALSE
MT,66,510,no,no,201.3,152.8,1,FALSE
KY,151,408,no,yes,214.7,138.5,1,FALSE
SC,99,510,no,no,169.2,271.5,0,FALSE
WA,55,415,no,no,194.1,176.6,2,FALSE
OR,77,510,no,no,233.8,266.5,2,FALSE
AK,78,408,no,no,225.1,199.2,0,FALSE
GA,89,415,no,no,213,176.6,1,TRUE
MN,101,415,no,no,183.9,255.9,1,FALSE
IL,44,415,no,yes,221.8,161.7,0,FALSE
IN,98,408,no,yes,64.6,176.1,2,FALSE
SC,64,510,no,yes,154.6,83.4,1,FALSE
VA,141,415,no,no,260.2,179.2,3,FALSE
WI,81,415,no,yes,161.6,123,1,FALSE
VT,162,510,no,no,220.6,155.2,1,FALSE
AZ,83,415,no,yes,155.9,162.3,3,FALSE
FL,100,510,no,no,107,105.7,4,TRUE
AK,59,510,no,no,182.5,204.7,4,FALSE
AR,179,415,yes,yes,220.1,234.3,4,FALSE
AR,79,408,no,no,152.2,177.2,1,FALSE
AK,117,415,no,no,181.5,205.1,2,FALSE
MS,64,408,yes,no,236.2,218.6,2,TRUE
ME,31,415,no,no,166.1,79.3,1,FALSE
CA,124,408,yes,no,244.6,188.8,1,FALSE
NM,122,408,no,yes,134.2,227.3,2,FALSE
NE,37,408,yes,yes,149.7,211.1,1,FALSE
SC,90,408,no,yes,150.1,264.7,1,FALSE
CO,159,408,yes,no,257.1,312.2,1,TRUE
DE,148,415,no,no,124.4,179.7,0,FALSE
OH,39,415,no,yes,141.7,232.3,1,FALSE
MS,77,408,no,no,230,103.2,2,FALSE
OK,194,408,no,no,162.3,213.7,0,FALSE
CO,154,415,no,no,350.8,216.5,1,TRUE
NC,112,415,no,no,193.3,264.1,4,FALSE
MD,45,415,no,no,78.2,253.4,1,FALSE
KS,132,415,no,no,83.4,232.2,1,FALSE
MA,128,415,no,no,195.6,267.8,0,FALSE
NC,135,415,no,no,201.8,225,1,FALSE
NM,56,408,no,no,197,222.8,2,FALSE
CA,151,415,yes,no,218,114.4,0,TRUE
NY,32,415,no,no,164.8,229.9,2,FALSE
AZ,90,415,no,no,179.2,210.7,2,FALSE
SD,87,415,no,yes,214,180,0,FALSE
DC,138,415,no,no,170.5,118.2,2,FALSE
ND,79,408,no,no,205.7,214.5,1,FALSE
MO,95,415,yes,no,165.5,286.2,1,TRUE
KS,127,415,no,no,221,160.7,2,FALSE
SD,137,510,no,no,242.1,191,3,FALSE
OK,97,415,no,no,151.6,155.4,1,FALSE
OR,149,415,yes,no,176.2,145,0,FALSE
IN,117,415,yes,yes,196,322.7,1,FALSE
OH,84,408,no,no,159.5,247.1,2,FALSE
KS,137,415,no,no,230.2,220.4,4,FALSE
CT,99,415,no,no,146.7,274,3,FALSE
NH,54,510,no,no,210.5,204.5,1,FALSE
WI,85,415,no,no,102,270.2,1,FALSE
MS,150,510,no,no,126,238.5,3,FALSE
WV,43,415,no,no,168.4,243.8,1,FALSE
MA,35,415,no,no,105.6,258.2,0,FALSE
MD,98,415,no,no,206.5,176.2,5,FALSE
PA,112,510,no,no,217.1,205.2,2,FALSE
WI,16,510,no,no,229.6,205.7,0,TRUE
TN,98,415,no,yes,278.3,93.4,0,FALSE
TX,84,408,no,no,138.6,199,0,FALSE
OR,94,415,no,no,234.4,279.3,1,TRUE
IL,84,510,no,no,181.5,130.7,1,FALSE
DC,66,415,no,no,167.3,230,1,TRUE
GA,98,415,no,yes,121,218.9,1,FALSE
ID,74,415,no,no,221.1,110.8,0,FALSE
UT,96,408,no,yes,145.8,192.2,1,FALSE
KY,119,510,no,no,222.8,163.2,1,FALSE
OH,73,415,no,no,183.4,242,4,FALSE
WI,92,415,yes,no,264.3,160.9,0,FALSE
IL,21,415,no,no,146,109.7,0,FALSE
DE,122,510,no,no,157.1,184.9,4,TRUE
RI,133,510,yes,no,127.3,251.3,1,FALSE
TX,145,415,no,no,187.9,197,2,FALSE
OR,25,408,no,no,178.8,141.2,2,FALSE
NV,64,415,no,no,97.2,186.2,2,FALSE
NE,85,415,no,no,259.8,242.3,0,FALSE
MS,126,415,no,no,256.5,199.5,3,FALSE
OR,76,415,no,no,169.5,124,0,FALSE
DE,113,415,no,no,239.7,282.9,2,TRUE
DE,224,510,yes,no,171.5,160,1,TRUE
AZ,117,408,no,no,239.9,174.8,0,FALSE
SD,128,408,no,yes,142.3,194.8,1,FALSE
NV,115,415,no,no,184.1,327,2,FALSE
NM,141,415,no,yes,206.9,264.4,2,FALSE
MN,51,510,no,no,259.9,176.2,1,FALSE
NJ,100,415,no,no,203.8,283.1,0,FALSE
IN,96,415,no,yes,248.8,140.3,3,FALSE
DC,112,415,no,yes,221.6,130.2,1,FALSE
MA,129,510,yes,no,192.9,185.5,1,FALSE
ME,163,415,no,no,122.4,113.4,1,FALSE
NH,67,415,no,yes,104.9,216.3,1,FALSE
AZ,140,408,no,no,173.2,196.8,3,FALSE
OR,49,510,no,no,119.4,273.3,2,FALSE
KS,46,510,no,no,250.3,260.6,2,TRUE
NE,148,415,no,no,178.3,282.6,1,FALSE
MI,112,510,no,no,243.4,182.1,1,FALSE
SC,78,415,no,no,155,175.3,2,FALSE
PA,61,408,no,yes,288.7,203.8,0,FALSE
MT,58,510,no,yes,240.4,118.9,1,FALSE
NM,155,415,no,no,190.3,301.3,1,FALSE
OH,100,510,no,no,278,176.7,0,TRUE
WY,113,510,no,no,155,330.6,1,FALSE
SD,91,510,no,no,149,245.3,0,FALSE
LA,149,415,no,yes,198.9,274,1,FALSE
OH,97,408,no,no,256.4,273.9,1,TRUE
MA,88,415,no,no,264.8,245.4,1,TRUE
AZ,60,415,no,no,98.2,180.5,2,FALSE
KY,54,408,no,no,159.8,264,2,FALSE
DC,11,415,no,yes,190.6,220.1,3,FALSE
WA,109,415,no,no,184,120.4,0,FALSE
UT,90,415,no,no,261.8,220.6,1,FALSE
RI,115,408,no,no,147.9,228.4,3,FALSE
OH,144,415,no,yes,106.4,108.1,1,FALSE
NV,91,408,no,no,133.7,195.3,0,FALSE
ND,105,415,no,yes,193.5,220.2,0,FALSE
NV,71,415,yes,no,178.2,167.8,3,TRUE
FL,132,510,no,yes,226.2,181.6,3,TRUE
MD,112,415,no,no,170.4,200.2,1,FALSE
AZ,86,415,no,yes,70.9,166.7,3,FALSE
AL,41,510,no,yes,194.4,254.9,2,FALSE
NE,44,415,no,no,240.3,164.6,1,FALSE
NV,78,408,no,no,75,248.7,3,FALSE
IL,149,408,no,no,69.1,136.3,1,FALSE
WV,72,510,no,yes,96.6,315.4,4,TRUE
MI,139,415,no,yes,214.6,235.1,0,FALSE
AR,74,510,no,no,148.5,146.5,3,FALSE
UT,50,510,no,no,258.1,161.4,1,FALSE
GA,141,510,no,yes,149.7,162.5,3,FALSE
AZ,140,408,no,no,149.8,164.4,1,FALSE
ID,99,408,no,no,190.4,158.1,2,FALSE
HI,166,408,no,no,181.4,253.8,1,FALSE
NV,124,408,no,no,151.1,187.4,1,FALSE
MD,74,415,no,no,155.7,173.7,0,FALSE
GA,117,510,no,no,149.9,256.1,2,FALSE
GA,85,510,no,no,222.3,231.5,3,FALSE
UT,36,415,no,yes,149.4,131.8,0,FALSE
MA,102,510,yes,no,233.8,221.6,0,FALSE
IN,76,415,no,no,204.2,292.6,0,FALSE
VT,165,510,no,no,242.9,209.8,1,FALSE
IA,130,415,no,no,150.4,230.5,1,FALSE
IN,78,415,no,no,208.9,252.4,0,FALSE
AL,55,415,yes,no,191.9,256.1,1,TRUE
ME,92,415,yes,no,130.7,260.6,2,TRUE
RI,129,415,no,yes,119.6,278.7,2,FALSE
MD,18,408,no,no,273.6,114.6,1,FALSE
FL,161,415,yes,no,156.1,180.3,2,FALSE
CA,93,415,no,yes,178.7,178.6,2,FALSE
AL,144,415,no,no,177.5,287.4,2,FALSE
ME,75,408,yes,no,211.3,105.6,4,TRUE
WV,95,415,no,no,175.2,244.4,1,FALSE
SD,126,415,no,yes,114.3,190.3,3,FALSE
FL,124,415,no,yes,251.4,225.1,1,FALSE
MI,93,415,yes,no,216.9,207.4,1,TRUE
MI,109,415,yes,yes,217.2,145.5,0,FALSE
NM,80,510,no,no,206.3,154.9,0,FALSE
AK,41,415,no,no,159.3,125.9,1,FALSE
OH,136,415,no,yes,143.1,236.6,2,FALSE
MO,92,415,no,no,154,329.8,3,TRUE
KS,143,408,no,yes,186.6,222,1,FALSE
MS,118,415,no,yes,170.8,199.5,5,TRUE
VT,193,408,no,yes,124,202.9,1,FALSE
NE,73,415,no,no,198.3,279.3,3,FALSE
VA,62,408,no,no,172.8,204.8,2,FALSE
DE,30,415,no,yes,217.4,213.8,0,FALSE
AL,60,408,yes,yes,265.9,215.8,0,TRUE
ID,148,510,no,yes,93.6,193.8,1,FALSE
MS,96,510,no,no,98.2,307.2,2,FALSE
OK,52,408,no,no,214.7,158.6,2,FALSE
NM,87,415,no,no,168.2,224.7,1,FALSE
WI,41,408,no,no,202.9,153.8,3,FALSE
WV,112,415,no,no,261.4,154.5,1,FALSE
SC,88,510,no,no,73.3,161.4,4,TRUE
KY,122,408,no,yes,253.7,229.2,7,FALSE
MO,61,408,no,no,45,151.3,2,FALSE
IL,87,510,no,no,231.3,171.7,1,FALSE
OK,176,408,no,no,47.4,167.8,2,FALSE
MI,30,510,no,no,227.4,182.5,0,FALSE
NJ,95,415,no,yes,40.9,133.4,0,FALSE
ID,46,415,no,no,124.8,157.3,2,FALSE
DC,100,510,yes,no,68.5,337.1,0,FALSE
NY,47,415,no,yes,163.5,203.1,2,FALSE
AL,77,415,no,no,163,219.1,2,FALSE
OR,98,415,no,yes,213.7,253,2,FALSE
OK,125,415,no,yes,201.3,42.2,1,FALSE
LA,67,510,no,no,310.4,66.5,4,FALSE
NE,194,408,no,no,48.4,281.1,1,FALSE
TX,128,415,no,yes,171.2,145.7,1,FALSE
UT,190,415,no,yes,166.5,183,0,FALSE
OR,165,415,no,no,216.6,190.8,0,FALSE
NY,59,408,no,no,107.8,216.6,2,FALSE
AL,47,408,no,yes,141.3,168,1,FALSE
RI,150,415,no,yes,209.9,158,0,FALSE
MN,152,415,yes,yes,237.5,253.4,9,TRUE
NC,26,415,no,no,234.5,216.5,3,FALSE
MD,79,510,no,yes,103.1,243,3,FALSE
RI,95,510,no,yes,129.5,248.9,1,FALSE
WI,69,510,yes,no,279.8,248.7,2,TRUE
VT,95,510,yes,yes,136.8,200.8,5,TRUE
CT,31,415,no,yes,100.1,246.3,0,FALSE
OK,121,408,no,yes,237.1,205.6,4,FALSE
AK,111,415,no,no,172.8,183.1,4,TRUE
NY,157,415,no,no,224.5,200.7,2,FALSE
GA,44,510,no,no,288.1,258,3,TRUE
UT,61,510,yes,no,78.2,195.9,2,FALSE
NM,65,415,no,no,148.7,259,2,FALSE
NE,74,415,no,yes,194.6,119.9,2,FALSE
NJ,123,408,no,no,159.5,303.8,0,FALSE
TX,58,408,no,yes,194.5,213.7,1,FALSE
MT,74,408,no,no,174.1,251.1,2,TRUE
CO,125,415,no,no,131.8,136.7,2,FALSE
VT,80,415,no,no,160.6,237,1,FALSE
RI,53,408,no,yes,146.8,310,0,FALSE
WY,99,408,no,yes,200.7,264.2,1,FALSE
ID,99,415,no,no,145.6,98.3,1,FALSE
CT,66,415,no,yes,229.4,257.4,2,FALSE
ME,97,510,no,no,211,189,3,FALSE
AZ,75,510,no,yes,121.5,271.4,2,FALSE
MD,85,510,yes,no,216,188.2,2,FALSE
IN,108,510,no,no,293,160.6,2,FALSE
NC,133,408,yes,yes,221.1,264.9,2,TRUE
DE,51,510,no,no,181.5,196.9,1,FALSE
MN,186,415,no,yes,74.3,177.3,2,FALSE
